MatrixSize,Threads,Container,AvgTime_ms
20000,1,1,1310.8323
20000,1,3,1331.3758
20000,2,1,659.2856
20000,2,3,669.3001
20000,4,1,335.9865
20000,4,3,335.6
20000,7,1,195.2558
20000,7,3,195.1247
20000,8,1,171.9095
20000,8,3,171.4539
20000,16,1,91.2742
20000,16,3,91.9847
20000,20,1,75.3129
20000,20,3,75.712
20000,40,1,53.6396
20000,40,3,53.1124
40000,1,1,5397.6215
40000,1,3,5393.371
40000,2,1,2723.642
40000,2,3,2786.194
40000,4,1,1416.4644
40000,4,3,1418.8279
40000,7,1,786.8149
40000,7,3,785.6018
40000,8,1,687.6966
40000,8,3,690.5655
40000,16,1,354.5948
40000,16,3,360.0992
40000,20,1,300.3612
40000,20,3,287.6652
40000,40,1,217.84
40000,40,3,228.2074
